"seed","m","method","Range","Smoothness"
380576,-1,"Laplace",0.04391282561747,0.536440633191022
139611,-1,"Laplace",0.0466351310759296,0.776418032694178
312930,-1,"Laplace",0.0092317362323964,6.09120598918712
102571,-1,"Laplace",0.0246474743513562,1.09389093559071
813845,-1,"Laplace",0.0236092401684958,1.12488084579407
488836,-1,"Laplace",0.0508145252075488,0.512725587106921
359810,-1,"Laplace",0.035613285696284,0.997890053678924
360557,-1,"Laplace",0.107946072308528,0.258734885369067
443300,-1,"Laplace",0.0487222717921469,0.64335077994108
494890,-1,"Laplace",0.0388846301611402,0.561101814798383
792135,-1,"Laplace",0.0317728034983901,0.85883961729376
870,-1,"Laplace",0.0549066449662714,0.444124632517949
526409,-1,"Laplace",0.0659424967196372,0.479953249161079
975640,-1,"Laplace",0.0436227283755676,0.577600627870835
